JSWINFRA,INE880J01026,,Services,JSW Infrastructure Ltd
JUBLFOOD,INE797F01020,,Retail,Jubilant Foodworks Ltd
KALYANKJIL,INE303R01014,,Consumer Durables,Kalyan Jewellers India Ltd
KEI,INE878B01027,,Capital Goods,KEI Industries Ltd
KPITTECH,INE04I401011,,IT,KPIT Technologies Ltd
KPRMILL,INE930H01031,,Textiles,K.P.R. Mill Ltd
LAURUSLABS,INE947Q01028,,Healthcare,Laurus Labs Ltd
LENSKART,INE956O01016,,Retail,Lenskart Solutions Ltd
LGEINDIA,INE324D01010,,Consumer Durables,LG Electronics India Ltd
LICHSGFIN,INE115A01026,,Financial Services,LIC Housing Finance Ltd
LICI,INE0J1Y01017,,Financial Services,Life Insurance Corporation of India
LINDEINDIA,INE473A01011,,Chemicals,Linde India Ltd
LLOYDSME,INE281B01032,,Metal,Lloyds Metals And Energy Ltd
LTF,INE498L01015,,Financial Services,L&T Finance Ltd
LTTS,INE010V01017,,IT,L&T Technology Services Ltd
LUPIN,INE326A01037,,Healthcare,Lupin Ltd
M&MFIN,INE774D01024,,Financial Services,Mahindra & Mahindra Financial Services Ltd
MAHABANK,INE457A01014,,Financial Services,Bank of Maharashtra
MANKIND,INE634S01028,,Healthcare,Mankind Pharma Ltd
MARICO,INE196A01026,,FMCG,Marico Ltd
MCX,INE745G01043,,Financial Services,Multi Commodity Exchange of India Ltd
MEDANTA,INE474Q01031,,Healthcare,Global Health Ltd
MFSL,INE180A01020,,Financial Services,Max Financial Services Ltd
MOTILALOFS,INE338I01027,,Financial Services,Motilal Oswal Financial Services Ltd
MPHASIS,INE356A01018,,IT,MphasiS Ltd
MRF,INE883A01011,,Auto,MRF Ltd
NAM-INDIA,INE298J01013,,Financial Services,Nippon Life India Asset Management Ltd
NATIONALUM,INE139A01034,,Metal,National Aluminium Co. Ltd
NAUKRI,INE663F01032,,Retail,Info Edge (India) Ltd
NHPC,INE848E01016,,Power,NHPC Ltd
NIACL,INE470Y01017,,Financial Services,The New India Assurance Company Ltd
NLCINDIA,INE589A01014,,Power,NLC India Ltd
NMDC,INE584A01023,,Metal,NMDC Ltd
NTPCGREEN,INE0ONG01011,,Power,NTPC Green Energy Ltd
NYKAA,INE388Y01029,,Retail,FSN E-Commerce Ventures Ltd
OBEROIRLTY,INE093I01010,,Realty,Oberoi Realty Ltd
OFSS,INE881D01027,,IT,Oracle Financial Services Software Ltd
OIL,INE274J01014,,Oil & Gas,Oil India Ltd
PAGEIND,INE761H01022,,Textiles,Page Industries Ltd
PATANJALI,INE619A01035,,FMCG,Patanjali Foods Ltd
PAYTM,INE982J01020,,Financial Services,One 97 Communications Ltd
PERSISTENT,INE262H01021,,IT,Persistent Systems Ltd
PETRONET,INE347G01014,,Oil & Gas,Petronet LNG Ltd
PHOENIXLTD,INE211B01039,,Realty,Phoenix Mills Ltd
PIIND,INE603J01030,,Chemicals,PI Industries Ltd
POLICYBZR,INE417T01026,,Financial Services,PB Fintech Ltd
POLYCAB,INE455K01017,,Capital Goods,Polycab India Ltd
POWERINDIA,INE07Y701011,,Capital Goods,Hitachi Energy India Ltd
PREMIERENE,INE0BS701011,,Capital Goods,Premier Energies Ltd
PRESTIGE,INE811K01011,,Realty,Prestige Estates Projects Ltd
RADICO,INE944F01028,,FMCG,Radico Khaitan Ltd
RVNL,INE415G01027,,Infrastructure,Rail Vikas Nigam Ltd
SAIL,INE114A01011,,Metal,Steel Authority of India Ltd
SBICARD,INE018E01016,,Financial Services,SBI Cards and Payment Services Ltd
SCHAEFFLER,INE513A01022,,Auto,Schaeffler India Ltd
SJVN,INE002L01015,,Power,SJVN Ltd
SRF,INE647A01010,,Chemicals,SRF Ltd
SUNDARMFIN,INE660A01013,,Financial Services,Sundaram Finance Ltd
SUPREMEIND,INE195A01028,,Capital Goods,Supreme Industries Ltd
SUZLON,INE040H01021,,Capital Goods,Suzlon Energy Ltd
SWIGGY,INE00H001014,,Retail,Swiggy Ltd
TATACOMM,INE151A01013,,Telecom,Tata Communications Ltd
TATAELXSI,INE670A01012,,IT,Tata Elxsi Ltd
TATAINVEST,INE672A01026,,Financial Services,Tata Investment Corporation Ltd
THERMAX,INE152A01029,,Capital Goods,Thermax Ltd
TIINDIA,INE974X01010,,Auto,Tube Investments of India Ltd
TORNTPOWER,INE813H01021,,Power,Torrent Power Ltd
UBL,INE686F01025,,FMCG,United Breweries Ltd
UNOMINDA,INE405E01023,,Auto,UNO Minda Ltd
UPL,INE628A01036,,Chemicals,UPL Ltd
VMM,INE01EA01019,,Retail,Vishal Mega Mart Ltd
VOLTAS,INE226A01021,,Consumer Durables,Voltas Ltd
WAAREEENER,INE377N01017,,Capital Goods,Waaree Energies Ltd
YESBANK,INE528G01035,,Financial Services,Yes Bank Ltd
